id,subject,body,department,urgency,issue_summary,root_cause,suggested_action,sentiment,draft_reply
1,Can't log in to my account,"I've been trying to log in for the past 2 hours but keep getting 'invalid credentials' error. I've reset my password 3 times already and nothing works. This is extremely frustrating, I need access to my account immediately for work!",Account,High,Customer is unable to log in to their account due to 'invalid credentials' error despite resetting their password multiple times.,Password reset process not working as expected or credentials not updated correctly.,"Have the customer verify their account credentials and attempt to log in again. If the issue persists, escalate the case to a senior support agent to investigate further and resolve the issue as soon as possible.",Angry,
2,Billing charge I don't recognize,"Hi, I noticed a charge of $49.99 on my credit card from your company dated March 15. I don't remember authorizing this payment. Could you please look into this and refund if it's an error? Thanks.",Billing,Critical,"Customer received an unexpected billing charge of $49.99 on March 15, and is requesting a refund.",Potential unauthorized transaction or billing error.,"Verify the customer's account activity, investigate the charge, and provide a refund if it's deemed an error.",Angry,"Dear valued customer, I'm so sorry to hear that you received an unexpected billing charge. I understand how frustrating this must be for you. I'm here to help. I've reviewed your account activity and I'm investigating the charge. If it's an error, I'll be happy to provide a refund. Please allow 24-48 hours for the investigation to be completed. I'll keep you updated on the status. Thank you for bringing this to my attention."
3,App crashes on startup,"Every time I open the mobile app on my iPhone 14, it crashes within 2 seconds. I've tried reinstalling it twice. Running iOS 17.3. This started happening after the last update.",Technical,High,"The mobile app crashes on startup within 2 seconds on an iPhone 14 running iOS 17.3, occurring after the last update.",Incompatible app update or iOS version conflict,"Request the customer to try uninstalling and reinstalling the app, and if the issue persists, ask them to provide the app's crash logs for further analysis.",Angry,
4,Request to upgrade my plan,"Hello, I'm currently on the Basic plan and would like to upgrade to Premium. Can you walk me through the process and let me know if there are any prorated charges? I'm happy with the service so far!",Billing,Normal,"Customer is requesting to upgrade their plan from Basic to Premium, seeking information on the process and potential prorated charges.",Customer is seeking to upgrade their plan due to satisfaction with the service.,"Provide the customer with a clear step-by-step guide on how to upgrade their plan, including any applicable prorated charges, and ensure they understand the benefits of the Premium plan.",Satisfied,
5,Data export not working,URGENT: I need to export my data for a compliance audit that's due tomorrow. The export button returns a 500 error every time I click it. This is blocking critical business operations. Please escalate immediately.,Technical,Critical,"The customer is experiencing a 500 error when clicking the export button, which is blocking critical business operations for a compliance audit.",Potential root cause: Technical issue with the data export functionality or a server-side error.,"Escalate the issue to the technical team to investigate and resolve the 500 error immediately, and provide a temporary workaround or solution to the customer to meet the compliance audit deadline.",Angry,"Dear valued customer, I understand the urgency and frustration you're experiencing with the data export issue. I'm escalating this to our technical team to investigate and resolve the 500 error immediately. In the meantime, I can offer a temporary workaround to help you meet your compliance audit deadline. Please allow me to provide you with a temporary export solution via email. I'll also keep you updated on the status of the technical team's investigation. Your compliance audit deadline is our top priority, and we're working diligently to resolve this issue as soon as possible. Thank you for your patience and cooperation."
6,Cancel my subscription,I want to cancel my subscription effective immediately. The product hasn't met my expectations and I've found a better alternative. Please confirm cancellation and let me know about any final charges.,Billing,Normal,Customer wants to cancel their subscription due to unmet expectations and a better alternative.,Product not meeting customer expectations,"Confirm cancellation, provide final charges, and offer a refund if applicable.",Angry,
7,Feature request - dark mode,"Love the product! Just wanted to suggest adding a dark mode option. My eyes get tired during late night sessions. Not urgent at all, just a nice-to-have for the future. Keep up the great work!",Other,Low,Customer is requesting a dark mode option for the product to reduce eye strain during late night sessions.,Lack of accessibility features in the product,Escalate the feature request to the product development team for consideration in future updates.,Satisfied,
8,API rate limiting issues,We're getting 429 errors on our production integration since yesterday. Our usage hasn't changed. Are there new rate limits? This is affecting our customers and we need a resolution ASAP.,Technical,Critical,"The customer is experiencing API rate limiting issues, resulting in 429 errors on their production integration, which is affecting their customers.",New rate limits implemented by the API provider,Reach out to the API provider to confirm if new rate limits have been implemented and request an increase in the current limits if necessary.,Angry,"Dear valued customer, I understand the urgency of this issue and apologize for the inconvenience caused to your customers. I've reviewed your case and it appears that new rate limits have been implemented by our API provider. I'll reach out to them to confirm and request an increase in the current limits if necessary. In the meantime, I recommend checking our API documentation for any updates on rate limits. I'll keep you updated on the progress and provide a resolution as soon as possible. Thank you for your patience and cooperation."
9,Wrong invoice amount,"The invoice #INV-2024-0892 shows $1,200 but our contract states $999/month. This is the second month in a row with incorrect billing. Very disappointed with this recurring issue.",Billing,High,"The customer received an incorrect invoice amount for the second month in a row, with a discrepancy of $201 between the invoice and their contract.",Inaccurate billing system or incorrect contract information in the billing system.,"Verify the customer's contract information in the billing system and correct the invoice amount. If necessary, provide a refund for the overcharged amount and offer a gesture of goodwill to compensate for the inconvenience caused.",Angry,
10,Password reset email not arriving,I requested a password reset 30 minutes ago but haven't received the email. Checked spam folder too. My email is correct in the system. Can someone help? I need to access my account today.,Account,High,"Customer is unable to access their account due to a password reset email not being received, despite the email address being correct in the system.",Delayed or failed email delivery,Resend the password reset email and escalate to the email delivery team if the issue persists.,Angry,
11,I love stying,I love styuding cause its interesting,Other,Low,The customer is expressing enthusiasm for studying due to its interesting nature.,Misunderstanding or miscommunication of the support ticket system.,Close the ticket as it is not a genuine issue and provide a friendly response to the customer acknowledging their enthusiasm for studying.,Satisfied,
